PC,RES_CNT_High,NRP_CNT_High,UNC_CNT_High,TOT_CNT_High,RES_CNT_Medium,NRP_CNT_Medium,UNC_CNT_Medium,TOT_CNT_Medium,RES_CNT_Low,NRP_CNT_Low,UNC_CNT_Low,TOT_CNT_Low,RES_CNT_VeryLow,NRP_CNT_VeryLow,UNC_CNT_VeryLow,TOT_CNT_VeryLow,SORTOFF,DISTRICT,SECTOR,UNIT
CV11 6X*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CV,11,6,X
TA7 0PL,0,0,0,0,0,0,0,0,1,0,12,13,0,0,0,0,TA,7,0,PL
BS9 1FF,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,BS,9,1,FF
PE29 2N*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE,29,2,N
PR7 7D*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PR,7,7,D
S6 1D*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,6,1,D
BN15 9S*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BN,15,9,S
SE25 6J*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE,25,6,J
CA3 9ER,0,0,0,0,0,0,0,0,21,0,0,21,0,0,0,0,CA,3,9,ER
SE7 7P*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SE,7,7,P
WS3 2L*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WS,3,2,L
RG8 0A*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RG,8,0,A
LU6 3A*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LU,6,3,A
DA2 6A*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DA,2,6,A
PR3 1Z*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PR,3,1,Z
BS30 8G*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BS,30,8,G
YO15 2R*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,YO,15,2,R
NR14 7D*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NR,14,7,D
LA2 8R*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LA,2,8,R
PE27 5QH,0,0,0,0,0,0,0,0,45,1,0,46,0,0,0,0,PE,27,5,QH
DT10 2E*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DT,10,2,E
SR2 9R*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SR,2,9,R
NN6 8H*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NN,6,8,H
PE9 2HG,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,PE,9,2,HG
HU1 1RP,0,0,0,0,0,0,1,1,0,3,2,5,0,0,0,0,HU,1,1,RP
AL4 9A*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,4,9,A
SG6 3D*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SG,6,3,D
EC2A 2A*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EC,2A,2,A
CT4 5S*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CT,4,5,S
DN17 4JE,0,0,0,0,0,0,0,0,1,3,2,6,4,0,0,4,DN,17,4,JE
L8 4Z*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,8,4,Z
OL15 9Q*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OL,15,9,Q
HD1 3S*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,HD,1,3,S
SL1 3PB,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,SL,1,3,PB
DE14 2F*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DE,14,2,F
S65 1ST,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,S,65,1,ST
